subject_id,Day,Month,Year,Inwhatformatisthecollectiondate,Country,Wasthecountrynamespecificallystatedonthelabel,Aregeographiccoordinatespresentonthelabel,Collector1,Collector2,HostInsectoftenprefacedEx,HostPlantoftenprefacedOn,Isthereanindicationofuncertaintyinthehostdata,Isitatypespecimen,BMRegistrationnumber,Day,EndMonth,EndYear,subject_CatalogueIRN,subject_MulIdentifier,subject_MulTitle,subject_MultimediaIRN,subject_EntCatBarcode,subject_SuperFamily,Expo
3327445,17,10 - October - X,1982,The collection date is shown as a single date.,Philippines,Yes,No,,,Leafhopper Eggs,,No,No,,,,,6500481,010156647_108834_1737739.jpg,010156647_108834_1737739,1482301,10156647,Chalcidoidea,3279
3327446,5,8 - August - VIII,1910,The collection date is shown as a single date.,United Kingdom,No,No,C. Waterhouse,,,,No,No,,,,,6499666,010156649_108834_1708013.jpg,010156649_108834_1708013,1481485,10156649,Chalcidoidea,3279
3327447,8,8 - August - VIII,1910,The collection date is shown as a single date.,Wales,No,No,C. Waterhouse,,,,,No,1919-185,,,,6497676,010156650_108834_1708013.jpg,010156650_108834_1708013,1479457,10156650,Chalcidoidea,3279
3327449,,,,There is no collection date.,Not Shown,No,No,,,Fuscipennis Haliday,,,No,,,,,6498513,010156651_108834_1708013.jpg,010156651_108834_1708013,1480297,10156651,Chalcidoidea,3279
3327450,8,10 - October - X,1981,The collection date is shown as a single date.,United Kingdom,No,No,SB,,,,,No,,,,,6501593,010156654_108834_1617759.jpg,010156654_108834_1617759,1483414,10156654,Chalcidoidea,3279
3327452,8,10 - October - X,1982,The collection date is shown as a single date.,England,No,No,S. B.,,,,No,No,,,,,6494353,010156655_108834_1617759.jpg,010156655_108834_1617759,1476084,10156655,Chalcidoidea,3279
3327453,8,6 - June - VI ,1975,The collection date is shown as a single date.,England,Yes,No,Noyes,,,,No,No,1975-265,,,,6496516,010156657_108834_1708013.jpg,010156657_108834_1708013,1478291,10156657,Chalcidoidea,3279
3327454,31,7 - July - VII,1977,The collection date is shown as a single date.,England,Yes,No,J. M. Noyes,M. Noyes,,,,No,1977-374,,,,6502315,010156658_108834_1708013.jpg,010156658_108834_1708013,1484136,10156658,Chalcidoidea,3279
3327455,,,,There is no collection date.,Not Shown,No,No,Fred Enock,[unclear][/unclear],[unclear][/unclear],[unclear][/unclear],No,No,,,,,6495107,010156659_108834_1708013.jpg,010156659_108834_1708013,1476885,10156659,Chalcidoidea,3279
3327457,8,10 - October - X,1981,The collection date is shown as a single date.,United Kingdom,No,No,,[unclear][/unclear],[unclear][/unclear],[unclear][/unclear],No,No,,,,,6495820,010156660_108834_1708013.jpg,010156660_108834_1708013,1477596,10156660,Chalcidoidea,3279
3327458,17,8 - August - VIII,1909,The collection date is shown as a single date.,,No,No,C. Waterhouse,,[unclear][/unclear],[unclear][/unclear],No,No,1919-195,,,,6501365,010156661_108834_1708013.jpg,010156661_108834_1708013,1483186,10156661,Chalcidoidea,3279
3327460,,,,There is no collection date.,Not Shown,No,No,[unclear][/unclear],[unclear][/unclear],[unclear][/unclear],[unclear][/unclear],No,No,,,,,6499219,010156663_108834_1708013.jpg,010156663_108834_1708013,1481014,10156663,Chalcidoidea,3279
3327461,Not Shown,Not Shown,1919,There is no collection date.,,,No,[unclear][/unclear],[unclear][/unclear],[unclear][/unclear],[unclear][/unclear],No,Yes,,Not Shown,Not Shown,Not Shown,6500129,010156664_108834_1708013.jpg,010156664_108834_1708013,1481950,10156664,Chalcidoidea,3279
3327463,Not Shown,1 - January - I,1989,The collection date is shown as a single date.,,Yes,No,Hobart & Fingal,Fingal,eggs of G. scutellatus,,No,Yes,,Not Shown,12 - December - XII,1988,6494253,010156665_108834_1617780.jpg,010156665_108834_1617780,1475942,10156665,Chalcidoidea,3279
3327464,Not Shown,4 - April IV,1989,The collection date is shown as a date range.,Costa Rica,Yes,No,J. Solano,,,,,Yes,,Not Shown,5 - May - V,1989,6501917,010156666_102145_1615443.jpg,010156666_102145_1615443,1483738,10156666,Chalcidoidea,3279
3327465,Not Shown,2 - February - II,1991,The collection date is shown as a single date.,Costa Rica,Yes,No,J.S. Noyes,,,,No,Yes,,,,,6497317,010156667_102145_1615442.jpg,010156667_102145_1615442,1479093,10156667,Chalcidoidea,3279
3327467,Not Shown,10 - October - X,1997,There is no collection date.,Niger,Yes,No,,,,Schouwia thebaica (Brassicaceae),No,No,,,,,6496536,010156668_102145_1621134.jpg,010156668_102145_1621134,1478311,10156668,Chalcidoidea,3279
3327468,Not Shown,10 - October - X,1997,There is no collection date.,Niger,Yes,No,,,,Schouwia thebaica (Brassicaceae),No,No,,,,,6499446,010156669_102145_1621134.jpg,010156669_102145_1621134,1481255,10156669,Chalcidoidea,3279
3327470,Not Shown,10 - October - X,1997,There is no collection date.,Niger,Yes,No,S.Triapitsyu,,,Schouwia thebalca (Brassicaceae),No,No,,,,,6497720,010156670_102145_1621134.jpg,010156670_102145_1621134,1479501,10156670,Chalcidoidea,3279
3327472,14,7 - July - VII,1913,The collection date is shown as a single date.,United Kingdom,No,No,C. Waterhouse,,Diaclova Waterhouspi,Burnham Beeches,No,Yes,52224,,,,6498579,010156671_102145_1686667.jpg,010156671_102145_1686667,1480365,10156671,Chalcidoidea,3279
3327473,29,6 - June - VI ,1970,The collection date is shown as a single date.,Mexico,Yes,No,E.M. Fisher Colls,J.L. Fisher Colls,[unclear][/unclear],Efferia fercama (phorette),,No,,,,,6497864,010156672_102145_1625436.jpg,010156672_102145_1625436,1479645,10156672,Chalcidoidea,3279
3327475,9,4 - April IV,Only two digits shown,The collection date is shown as a single date.,Ghana,Yes,No,D. S. Hill,,,,No,Yes,,,,,6499233,010156673_102145_1625512.jpg,010156673_102145_1625512,1481028,10156673,Chalcidoidea,3279
3327476,9,4 - April IV,1966,The collection date is shown as a single date.,Ghana,Yes,No,D. S. Hill,,,,No,Yes,,,,,6500190,010156674_102145_1625512.jpg,010156674_102145_1625512,1482010,10156674,Chalcidoidea,3279
3327478,12,9 - September - IX,1963,The collection date is shown as a single date.,Uganda,Yes,No,E.D.L. Matega,,Leucoptera sp.,Coffea canephora,No,No,,,,,6495132,010156675_102145_1738319.jpg,010156675_102145_1738319,1476910,10156675,Chalcidoidea,3279
3327479,16,10 - October - X,1984,The collection date is shown as a single date.,India,Yes,No,Atma Ram,,Atherigona,Sorghum,No,No,,,,,6500152,010156676_102145_1738319.jpg,010156676_102145_1738319,1481972,10156676,Chalcidoidea,3279
3327480,Not Shown,Not Shown,1979,The collection date is shown as a single date.,India,Yes,No,[unclear][/unclear],,Leptocentrus Leucospis,,No,No,,,,,6497231,010156677_102145_1738319.jpg,010156677_102145_1738319,1479005,10156677,Chalcidoidea,3279
3327482,Not Shown,,1985,The collection date is shown as a single date.,Philippines,Yes,No,,,Ricaniid eggs,Cacao leaf,No,No,,,,,6501971,010156678_102145_1738319.jpg,010156678_102145_1738319,1483792,10156678,Chalcidoidea,3279
3327483,Not Shown,11 - November - XI,1949,The collection date is shown as a single date.,Brazil,Yes,No,B. R. S. Rao,,[unclear][/unclear],[unclear][/unclear],Yes,No,,,,,6501111,010156679_102145_1691545.jpg,010156679_102145_1691545,1482932,10156679,Chalcidoidea,3279
3327484,7,10 - October - X,1981,There is no collection date.,Unclear/Illegible,,No,[unclear][/unclear],,[unclear][/unclear],[unclear][/unclear],,No,,,,,6502253,010156680_102145_1629266.jpg,010156680_102145_1629266,1484074,10156680,Chalcidoidea,3279
3327486,,,,There is no collection date.,Not Shown,No,No,C.Waterhouse,,,,No,No,,,,,6496259,010156681_102145_1629267.jpg,010156681_102145_1629267,1478035,10156681,Chalcidoidea,3279
3327487,,,,There is no collection date.,Not Shown,No,No,C. Waterhouse,,,,,Yes,,,,,6501919,010156682_102145_1629267.jpg,010156682_102145_1629267,1483740,10156682,Chalcidoidea,3279
3327488,Not Shown,Not Shown,,The collection date is shown as a single date.,,No,No,Percy Sladen Trust Exped.,,[unclear][/unclear],,Yes,Yes,1913-170,Not Shown,Not Shown,1909,6496923,010156683_102145_1629268.jpg,010156683_102145_1629268,1478694,10156683,Chalcidoidea,3279
3327489,24,5 - May - V,1988,The collection date is shown as a single date.,United States of America,Yes,No,R. E. Rice,,Neurocolpus eggs,Stems of Aesculus,No,Yes,,,,,6495294,010156684_102145_1629269.jpg,010156684_102145_1629269,1477071,10156684,Chalcidoidea,3279
3327490,17,7 - July - VII,1924,The collection date is shown as a single date.,Not Shown,No,No,J.J. Kryger[unclear][/unclear],,,,No,No,,,,,6499436,010156685_102145_1629270.jpg,010156685_102145_1629270,1481243,10156685,Chalcidoidea,3279
3327491,12,7 - July - VII,1924,The collection date is shown as a single date.,,No,No,J.T.Kryger[unclear][/unclear],,,,,No,,,,,6494427,010156686_102145_1629270.jpg,010156686_102145_1629270,1476166,10156686,Chalcidoidea,3279
3327493,28,Not Shown,1932,The collection date is shown as a single date.,Not Shown,No,No,[unclear][/unclear],,,,,No,,,,,6501660,010156687_102145_1629270.jpg,010156687_102145_1629270,1483481,10156687,Chalcidoidea,3279
3327494,19,7 - July - VII,Only two digits shown,The collection date is shown as a single date.,Not Shown,No,No,[unclear][/unclear],,,,,No,,,,,6496887,010156688_102145_1629270.jpg,010156688_102145_1629270,1478658,10156688,Chalcidoidea,3279
3327495,Not Shown,7 - July - VII,1953,The collection date is shown as a single date.,Italy,No,No,[unclear][/unclear],[unclear][/unclear],[unclear][/unclear],[unclear][/unclear],Yes,No,,,,,6500270,010156689_102145_1639963.jpg,010156689_102145_1639963,1482090,10156689,Chalcidoidea,3279
3327497,9,1 - January - I,1981,The collection date is shown as a single date.,India,Yes,No,Coll.M.Hayat,[unclear][/unclear],[unclear][/unclear],[unclear][/unclear],No,Yes,1984-474,,,,6498015,010156690_102145_1639963.jpg,010156690_102145_1639963,1479799,10156690,Chalcidoidea,3279
3327498,Not Shown,7 - July - VII,1953,The collection date is shown as a single date.,Italy,No,No,[unclear][/unclear],,,,,No,,,,,6499357,010156691_102145_1639963.jpg,010156691_102145_1639963,1481161,10156691,Chalcidoidea,3279
3327499,30,4 - April IV,Only two digits shown,The collection date is shown as a single date.,Indonesia,No,No,s. Leefmans,,Eggs of Sexava coriacea,,No,Yes,1928-139,,,,6495090,010156692_102145_1636788.jpg,010156692_102145_1636788,1476868,10156692,Chalcidoidea,3279
3327500,26,3 - March - III,1992,The collection date is shown as a single date.,Sri Lanka,Yes,No,C.Kudagamage,,ex. eggs of Nilaparvata lugens,,No,No,,,,,6497983,010156693_108834_1737739.jpg,010156693_108834_1737739,1479765,10156693,Chalcidoidea,3279
3327502,27,3 - March - III,1992,The collection date is shown as a single date.,Sri Lanka,Yes,No,,,eggs of Nilaparvata lugens,,No,No,,,,,6497090,010156694_108834_1737739.jpg,010156694_108834_1737739,1478860,10156694,Chalcidoidea,3279
3327503,5,7 - July - VII,Only two digits shown,The collection date is shown as a single date.,Not Shown,No,No,J.T.Knyger [unclear][/unclear],,,,,No,,,,,6494925,010156695_102145_1629270.jpg,010156695_102145_1629270,1476706,10156695,Chalcidoidea,3279
3327504,30,4 - April IV,1925,The collection date is shown as a single date.,Indonesia,No,No,S. Leefmans,,Eggs of Sexava coriacea,,No,Yes,1928-139,Not Shown,Not Shown,1928,6499229,010156696_102145_1636788.jpg,010156696_102145_1636788,1481024,10156696,Chalcidoidea,3279
3327506,Not Shown,Not Shown,1932,The collection date is shown as a single date.,Papua New Guinea,Yes,No,J. L. Froggatt,,eggs of Locustid,,,No,,,,,6497128,010156697_102145_1639963.jpg,010156697_102145_1639963,1478899,10156697,Chalcidoidea,3279
3327507,5,3 - March - III,1984,The collection date is shown as a single date.,Not Shown,No,No,S.K.,[unclear][/unclear],Hopper,Leaves of Albizia lebbeck,No,No,,,,,6501837,010156698_102145_1639963.jpg,010156698_102145_1639963,1483658,10156698,Chalcidoidea,3279
3327509,5,3 - March - III,1984,The collection date is shown as a single date.,Not Shown,No,No,S.K,,Hopper,leaves of Albezia lebbek,No,No,,,,,6494048,010156699_102145_1639963.jpg,010156699_102145_1639963,1475728,10156699,Chalcidoidea,3279
3327510,Not Shown,7 - July - VII,1953,The collection date is shown as a single date.,Italy,No,No,[unclear][/unclear],[unclear][/unclear],oligosita,[unclear][/unclear],Yes,No,,,,,6495427,010156700_102145_1639963.jpg,010156700_102145_1639963,1477204,10156700,Chalcidoidea,3279
3327511,Not Shown,Not Shown,1930,The collection date is shown as a single date.,,No,No,[unclear]J.L.T.[/unclear],,Sexava,,No,No,,,,,6501685,010156701_102145_1636788.jpg,010156701_102145_1636788,1483506,10156701,Chalcidoidea,3279
3327513,30,4 - April IV,1925,The collection date is shown as a single date.,Not Shown,No,No,S. Leefmans,,Eggs of sexava coeriacea,,No,No,1928-139,Not Shown,Not Shown,1928,6496787,010156702_102145_1636788.jpg,010156702_102145_1636788,1478560,10156702,Chalcidoidea,3279
3327514,30,4 - April IV,1925,The collection date is shown as a single date.,Indonesia,No,No,S . Leefmans,,Eggs of Sexava coriacea,,No,Yes,1928-139,,,,6499686,010156703_102145_1636788.jpg,010156703_102145_1636788,1481506,10156703,Chalcidoidea,3279
3327515,Not Shown,9 - September - IX,1963,The collection date is shown as a date range.,Not Shown,No,No,Fenster,,,,No,No,,Not Shown,10 - October - X,1963,6499186,010156704_102145_1629266.jpg,010156704_102145_1629266,1480980,10156704,Chalcidoidea,3279
3327517,Not Shown,Not Shown,,The collection date is shown as a single date.,Not Shown,No,No,FRED ENOCK,,,,,No,1919-185,,,,6500433,010156705_108834_1685214.jpg,010156705_108834_1685214,1482253,10156705,Chalcidoidea,3279
3327518,,,,The collection date is shown as a date range.,Not Shown,No,No,Fred Enock,,Not shown,Not shown,,No,,Not Shown,Not Shown,2011,6494777,010156706_108834_1685214.jpg,010156706_108834_1685214,1476561,10156706,Chalcidoidea,3279
3327520,6,6 - June - VI ,1908,The collection date is shown as a single date.,,No,No,,,Fuscipennis Haliday,,No,No,1919-185,,,,6501552,010156707_108834_1708013.jpg,010156707_108834_1708013,1483373,10156707,Chalcidoidea,3279
3327521,24,7 - July - VII,1912,The collection date is shown as a single date.,United Kingdom,No,No,C. Waterhouse,,,,No,No,,,,,6496854,010156708_108834_1708013.jpg,010156708_108834_1708013,1478625,10156708,Chalcidoidea,3279
3327523,Not Shown,1 - January - I,1989,The collection date is shown as a single date.,Australia,Yes,No,N.J.van Ronsburg,,Gonipterus scutellatus,Pretoria,No,Yes,,,,,6501627,010156709_108834_1617780.jpg,010156709_108834_1617780,1483448,10156709,Chalcidoidea,3279
3327524,Not Shown,1 - January - I,1989,The collection date is shown as a single date.,South Africa,Yes,No,Hobart & Fingal,Fingal,eggs of G. scutellatus,,No,Yes,,,,,6495660,010156710_108834_1617780.jpg,010156710_108834_1617780,1477436,10156710,Chalcidoidea,3279
3327525,5,7 - July - VII,1910,The collection date is shown as a single date.,England,No,No,C.Waterhouse,,,,No,No,,Not Shown,Not Shown,2011,6495453,010156711_108834_1717211.jpg,010156711_108834_1717211,1477229,10156711,Chalcidoidea,3279
3327527,5,7 - July - VII,1910,The collection date is shown as a single date.,England,No,No,C.Waterhouse,,,,No,Yes,1919-185,,,,6495922,010156712_108834_1708013.jpg,010156712_108834_1708013,1477698,10156712,Chalcidoidea,3279
3327528,8,10 - October - X,1981,The collection date is shown as a single date.,,No,No,S.B.,,,,No,No,,,,,6482534,010156713_108834_1684196.jpg,010156713_108834_1684196,1433271,10156713,Chalcidoidea,3279
3327529,8,10 - October - X,1981,The collection date is shown as a single date.,England,No,No,S. B.,,,,No,No,,,,,6482067,010156714_108834_1684196.jpg,010156714_108834_1684196,1432764,10156714,Chalcidoidea,3279
3327531,Not Shown,7 - July - VII,1982,There is no collection date.,,No,No,S.B.,,,,No,No,,,,,6480687,010156715_108834_1684210.jpg,010156715_108834_1684210,1431277,10156715,Chalcidoidea,3279
3327532,8,10 - October - X,1981,The collection date is shown as a single date.,United Kingdom,No,No,S. B.,,,,,No,,,,,6481363,010156716_108834_1684196.jpg,010156716_108834_1684196,1431994,10156716,Chalcidoidea,3279
3327534,7,8 - August - VIII,1982,The collection date is shown as a single date.,Unclear/Illegible,No,No,,,,,No,No,,,,,6481102,010156717_108834_1684196.jpg,010156717_108834_1684196,1431718,10156717,Chalcidoidea,3279
3327535,11,9 - September - IX,1981,The collection date is shown as a date range.,England,Yes,No,H. Disney,,,,,No,,14,9 - September - IX,1981,6502290,010156718_108834_1685214.jpg,010156718_108834_1685214,1484111,10156718,Chalcidoidea,3279
3327536,13,7 - July - VII,1983,The collection date is shown as a single date.,England,Yes,No,M. J. Matthews,,,Long grass,No,No,,30,11 - November - XI,1983,6495079,010156719_108834_1685214.jpg,010156719_108834_1685214,1476857,10156719,Chalcidoidea,3279
3327538,20,,1979,The collection date is shown as a date range.,,No,No,P. Entwhistle,,,,,No,,26,,1979,6495787,010156720_108834_1685214.jpg,010156720_108834_1685214,1477563,10156720,Chalcidoidea,3279
3327539,8,10 - October - X,1982,The collection date is shown as a single date.,United Kingdom,No,No,S.B.,,,,No,No,,,,,6482402,010156721_108834_1684210.jpg,010156721_108834_1684210,1433130,10156721,Chalcidoidea,3279
3327540,8,10 - October - X,1982,The collection date is shown as a single date.,England,No,No,S. B.,,,,,No,,,,,6480810,010156722_108834_1684210.jpg,010156722_108834_1684210,1431408,10156722,Chalcidoidea,3279
3327542,8,10 - October - X,1981,The collection date is shown as a single date.,England,No,No,S. B.,,,,,No,,,,,6481934,010156723_108834_1684196.jpg,010156723_108834_1684196,1432618,10156723,Chalcidoidea,3279
3327543,Not Shown,10 - October - X,1981,The collection date is shown as a single date.,United Kingdom,No,No,,,,,No,No,,,,,6481651,010156724_108834_1684196.jpg,010156724_108834_1684196,1432311,10156724,Chalcidoidea,3279
3327545,22,7 - July - VII,1912,The collection date is shown as a single date.,Not Shown,No,No,C.O.Waterhouse,,,,No,No,1919-185,,,,6481201,010156725_108834_1684196.jpg,010156725_108834_1684196,1431825,10156725,Chalcidoidea,3279
3327546,,8 - August - VIII,1982,The collection date is shown as a single date.,United Kingdom,No,No,SB,,,,No,No,,Not Shown,10 - October - X,Only two digits shown,6481366,010156728_108834_1684196.jpg,010156728_108834_1684196,1431998,10156728,Chalcidoidea,3279
3327548,6,6 - June - VI ,1982,The collection date is shown as a single date.,England,No,No,S B,,,,No,Yes,,,,,6481991,010156753_108834_1684196.jpg,010156753_108834_1684196,1432681,10156753,Chalcidoidea,3279
3327549,8,10 - October - X,1981,The collection date is shown as a single date.,United Kingdom,No,No,S. B.,,,,,No,,,,,6481779,010156761_108834_1684196.jpg,010156761_108834_1684196,1432450,10156761,Chalcidoidea,3279
3327551,8,10 - October - X,1981,The collection date is shown as a single date.,England,No,No,SB,,,,No,No,,,,,6482327,010156777_108834_1684196.jpg,010156777_108834_1684196,1433050,10156777,Chalcidoidea,3279
3327552,8,10 - October - X,1982,The collection date is shown as a single date.,United Kingdom,No,No,,,,,No,No,,Not Shown,10 - October - X,Only two digits shown,6480549,010156785_108834_1684196.jpg,010156785_108834_1684196,1431132,10156785,Chalcidoidea,3279
3327554,7,8 - August - VIII,1982,The collection date is shown as a single date.,England,No,No,S. B.,,,,No,No,,,,,6480788,010156793_108834_1684196.jpg,010156793_108834_1684196,1431384,10156793,Chalcidoidea,3279
3327555,16,7 - July - VII,1984,The collection date is shown as a single date.,Not Shown,,No,[unclear][/unclear],[unclear][/unclear],Parlatoria pergandis Bang.,[unclear][/unclear],No,No,,,,,6480153,010156801_108834_28450.jpg,010156801_108834_28450,1430722,10156801,Chalcidoidea,3279
3327557,12,4 - April IV,1978,The collection date is shown as a single date.,India,Yes,No,M. Verma,,,grasses F. mymoridae,,Yes,,,,,6480787,010156809_108834_1683623.jpg,010156809_108834_1683623,1431383,10156809,Chalcidoidea,3279
3327559,17,8 - August - VIII,1959,The collection date is shown as a single date.,India,Yes,No,R.B.Kaur,,,Cucerne[unclear][/unclear] & Mulberry,No,Yes,,,,,6480320,010156817_108834_28450.jpg,010156817_108834_28450,1430894,10156817,Chalcidoidea,3279
3327561,,,,There is no collection date.,India,Yes,No,N.S.[unclear],,,,,No,,,,,6482431,010156818_108834_28450.jpg,010156818_108834_28450,1433158,10156818,Chalcidoidea,3279
3327563,18,9 - September - IX,1912,The collection date is shown as a single date.,Not Shown,No,No,C. Waterhouse,,,,,Yes,1919-185,,,,6481346,010156819_108834_1684282.jpg,010156819_108834_1684282,1431977,10156819,Chalcidoidea,3279
3327564,15,9 - September - IX,1980,The collection date is shown as a single date.,United Kingdom,No,No,S. B.,[unclear][/unclear],[unclear]Procid ova[/unclear],,No,No,,,,,6481764,010156820_108834_1684210.jpg,010156820_108834_1684210,1432431,10156820,Chalcidoidea,3279
3327566,8,10 - October - X,1982,The collection date is shown as a single date.,England,No,No,S. B.,,,,No,No,,,,,6480812,010156821_108834_1684210.jpg,010156821_108834_1684210,1431410,10156821,Chalcidoidea,3279
3327567,Not Shown,9 - September - IX,1960,The collection date is shown as a single date.,United Kingdom,No,No,S.B.,,Psocid ova,aspen,No,Yes,,,,,6482388,010156822_108834_1684210.jpg,010156822_108834_1684210,1433116,10156822,Chalcidoidea,3279
3327568,8,10 - October - X,1982,The collection date is shown as a single date.,England,No,No,S.B.,,,,No,No,,,,,6480295,010156823_108834_1684196.jpg,010156823_108834_1684196,1430868,10156823,Chalcidoidea,3279
3327570,7,8 - August - VIII,1982,The collection date is shown as a single date.,England,No,No,S B,,,,No,No,,Not Shown,8 - August - VIII,Only two digits shown,6480515,010156824_108834_1684196.jpg,010156824_108834_1684196,1431095,10156824,Chalcidoidea,3279
3327571,5,6 - June - VI ,1916,The collection date is shown as a single date.,Guyana,No,No,C. B. Williams,[unclear][/unclear],[unclear][/unclear],Grass & cane trash,No,No,bmnh,,,,6482538,010156825_108834_1617269.jpg,010156825_108834_1617269,1433275,10156825,Chalcidoidea,3279
3327572,Not Shown,6 - June - VI ,1982,The collection date is shown as a single date.,Ecuador,Yes,No,R. Morey,,Perkinsiella saccharicida eggs,Sugar cane,No,No,,,,,6480305,010156826_108834_1682982.jpg,010156826_108834_1682982,1430878,10156826,Chalcidoidea,3279
3327574,27,3 - March - III,1925,The collection date is shown as a single date.,South Africa,Yes,No,[unclear][/unclear],,Cicadulina,,No,No,,Not Shown,7 - July - VII,1996,6482602,010156827_108834_1682982.jpg,010156827_108834_1682982,1433344,10156827,Chalcidoidea,3279
3327575,5,3 - March - III,1980,The collection date is shown as a single date.,Not Shown,No,No,[unclear]W. M Selangor[/unclear],,,,,No,,,,,6480734,010156828_108834_1682982.jpg,010156828_108834_1682982,1431327,10156828,Chalcidoidea,3279
3327576,5,3 - March - III,Only two digits shown,The collection date is shown as a single date.,Unclear/Illegible,No,No,[unclear][/unclear],[unclear][/unclear],[unclear][/unclear],[unclear][/unclear],No,No,,,,,6481844,010156829_108834_1682982.jpg,010156829_108834_1682982,1432521,10156829,Chalcidoidea,3279
3327577,,,,There is no collection date.,Not Shown,No,No,R.C.L.Perkins,,,,No,No,1955-742,,,,6481015,010156830_108834_1682982.jpg,010156830_108834_1682982,1431625,10156830,Chalcidoidea,3279
3327579,,,,There is no collection date.,Not Shown,No,No,R.C.L. Perkins,,[unclear][/unclear],[unclear][/unclear],No,No,B.M.1955-742,,,,6481455,010156831_108834_1682982.jpg,010156831_108834_1682982,1432098,10156831,Chalcidoidea,3279
3327580,,,,There is no collection date.,Not Shown,No,No,,,,,,No,,,,,6480350,010156832_108834_1682982.jpg,010156832_108834_1682982,1430926,10156832,Chalcidoidea,3279
